2023-05-30 16:29:50.716 [flink-akka.actor.default-dispatcher-7] INFO  org.apache.flink.runtime.jobmaster.JobMaster - JobManager successfully registered at ResourceManager, leader id: a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.717 [flink-akka.actor.default-dispatcher-8] INFO  o.a.f.r.r.slotmanager.DeclarativeSlotManager - Received resource requirements from job 0de1692e781512095dcc406cdff1a95e: [ResourceRequirement{resourceProfile=ResourceProfile{UNKNOWN}, numberOfRequiredSlots=12}]
2023-05-30 16:29:50.783 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 891d05ef0a5d4ed3517579171306146e for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.788 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 891d05ef0a5d4ed3517579171306146e.
2023-05-30 16:29:50.789 [flink-akka.actor.default-dispatcher-8] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Add job 0de1692e781512095dcc406cdff1a95e for job leader monitoring.
2023-05-30 16:29:50.790 [mini-cluster-io-thread-3] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Try to register at job manager akka://flink/user/rpc/jobmanager_3 with leader id ce933f25-9514-4ba3-810d-f5cbb50fb43a.
2023-05-30 16:29:50.790 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 9b1d49a9cb8ad4ab15c616f57d92f726 for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 9b1d49a9cb8ad4ab15c616f57d92f726.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request a3971d9d54f138c9109425c2024ef909 for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Resolved JobManager address, beginning registration
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for a3971d9d54f138c9109425c2024ef909.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request d97e6a32db9f0cbb0cd7a4ee807ed3a4 for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for d97e6a32db9f0cbb0cd7a4ee807ed3a4.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request e5baed3e8ecb68f16cf92e3265837438 for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for e5baed3e8ecb68f16cf92e3265837438.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 62424040d63bafb37a3d2f63e9b479d1 for job 0de1692e781512095dcc406cdff1a95e from resource manager with leader id a3c205c79053bb315e0f95599fab489e.
2023-05-30 16:29:50.791 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 62424040d63bafb37a3d2f63e9b479d1.
